item,itemLabel,point_of_time
http://www.wikidata.org/entity/Q43392993,Helen Tailzear,1649-07-18T00:00:00Z
http://www.wikidata.org/entity/Q43392995,Margaret Dobson,1649-07-18T00:00:00Z
http://www.wikidata.org/entity/Q43392986,Issobell Broune,1649-07-12T00:00:00Z
http://www.wikidata.org/entity/Q43392973,Marjorie Adamsone,1649-06-18T00:00:00Z
http://www.wikidata.org/entity/Q43393008,Elizabeth Lawsone,1649-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43393029,Elspeth Baillie,1649-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43393028,Isobel Wilson,1649-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43391151,William Leslie,1590-07-22T00:00:00Z
http://www.wikidata.org/entity/Q43391374,Bessie Gibb,1679-12-04T00:00:00Z
http://www.wikidata.org/entity/Q43391307,Gideon Penman,1674-04-12T00:00:00Z
http://www.wikidata.org/entity/Q43391267,Neving,1662-06-11T00:00:00Z
http://www.wikidata.org/entity/Q43391115,Marion Raeburn,1662-04-27T00:00:00Z
http://www.wikidata.org/entity/Q43391208,Guidfellow,1662-04-27T00:00:00Z
http://www.wikidata.org/entity/Q43391194,Jeane Kirkwood,1662-04-27T00:00:00Z
http://www.wikidata.org/entity/Q43391041,Archibald Man,1662-04-24T00:00:00Z
http://www.wikidata.org/entity/Q43391073,Allexander Sheipheard,1662-04-24T00:00:00Z
http://www.wikidata.org/entity/Q43391087,Allexander Elder,1662-04-24T00:00:00Z
http://www.wikidata.org/entity/Q43391239,Jonet Lowrie,1662-04-27T00:00:00Z
http://www.wikidata.org/entity/Q43391242,Jeane Dikson,1662-04-27T00:00:00Z
http://www.wikidata.org/entity/Q43390957,Elspeth Mowat,1661-08-08T00:00:00Z
http://www.wikidata.org/entity/Q43390895,Kathrin Black,1658-05-21T00:00:00Z
http://www.wikidata.org/entity/Q43391480,Jean Thomson,1658-05-14T00:00:00Z
http://www.wikidata.org/entity/Q43391472,Katharine Clacherty,1658-04-19T00:00:00Z
http://www.wikidata.org/entity/Q43390875,Margaret Allan,1658-04-10T00:00:00Z
http://www.wikidata.org/entity/Q43391675,Magaret Alexander,1647-03-22T00:00:00Z
http://www.wikidata.org/entity/Q43391336,Janet Brodie,1629-06-29T00:00:00Z
http://www.wikidata.org/entity/Q43391640,spouse to Johnne McConnochie,1626-12-24T00:00:00Z
http://www.wikidata.org/entity/Q43391637,Euphame Rid,1626-12-08T00:00:00Z
http://www.wikidata.org/entity/Q43391572,Margaret Barclay,1618-06-12T00:00:00Z
http://www.wikidata.org/entity/Q43391569,Patrick Rid,1616-04-13T00:00:00Z
http://www.wikidata.org/entity/Q43391561,Bessie Stewinstone,1616-03-29T00:00:00Z
http://www.wikidata.org/entity/Q43391540,Jonet Listar,1612-12-12T00:00:00Z
http://www.wikidata.org/entity/Q43391430,Elspeth Tarbat,1699-04-29T00:00:00Z
http://www.wikidata.org/entity/Q43392687,Janet Scherar,1629-06-12T00:00:00Z
http://www.wikidata.org/entity/Q43392588,Marion nein Gillimichaell,1628-11-28T00:00:00Z
http://www.wikidata.org/entity/Q43392596,Margaret Jo,1628-09-01T00:00:00Z
http://www.wikidata.org/entity/Q43392539,Barbara Mathie,1628-07-25T00:00:00Z
http://www.wikidata.org/entity/Q43392523,Agnes Hendersoun,1628-07-13T00:00:00Z
http://www.wikidata.org/entity/Q43392546,Bessie Wright,1626-05-06T00:00:00Z
http://www.wikidata.org/entity/Q43392461,Alesoune Hutchesoune,1622-09-07T00:00:00Z
http://www.wikidata.org/entity/Q43392354,Helen Wilson,1659-04-08T00:00:00Z
http://www.wikidata.org/entity/Q43392295,Marioun Grant,1597-04-25T00:00:00Z
http://www.wikidata.org/entity/Q43392632,Ane Nairn,1591-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43392333,Katherene Ross,1577-11-04T00:00:00Z
http://www.wikidata.org/entity/Q43392424,Margaret Duncan,1699-04-29T00:00:00Z
http://www.wikidata.org/entity/Q43392448,Agnes Smyth,1612-12-12T00:00:00Z
http://www.wikidata.org/entity/Q43392382,Elspet Chisolme,1662-04-24T00:00:00Z
http://www.wikidata.org/entity/Q43392485,Jenet Howie,1661-07-22T00:00:00Z
http://www.wikidata.org/entity/Q43392363,Jean Howison,1661-07-20T00:00:00Z
http://www.wikidata.org/entity/Q43392366,Margaret Rammage,1661-07-20T00:00:00Z
http://www.wikidata.org/entity/Q43392482,Margaret Stevensoun,1661-07-19T00:00:00Z
http://www.wikidata.org/entity/Q43392274,Bessie Fouler,1661-06-01T00:00:00Z
http://www.wikidata.org/entity/Q43392260,Elizabeth Crafford,1661-04-13T00:00:00Z
http://www.wikidata.org/entity/Q43392336,Cristian Cranstoun,1659-04-14T00:00:00Z
http://www.wikidata.org/entity/Q43392329,Bessie Fullertoun,1658-04-10T00:00:00Z
http://www.wikidata.org/entity/Q43392305,Margaret Sunderland,1658-04-10T00:00:00Z
http://www.wikidata.org/entity/Q43392331,Issobell Hendersone,1658-02-12T00:00:00Z
http://www.wikidata.org/entity/Q43392854,Marion Ritchie,1630-06-18T00:00:00Z
http://www.wikidata.org/entity/Q43392847,Agnes Weir,1630-06-11T00:00:00Z
http://www.wikidata.org/entity/Q43392833,Alison Neving,1630-05-01T00:00:00Z
http://www.wikidata.org/entity/Q43392831,Margaret Heriot,1630-05-01T00:00:00Z
http://www.wikidata.org/entity/Q43392804,Elspet Bladderstouns,1630-02-21T00:00:00Z
http://www.wikidata.org/entity/Q43392783,Margaret Callander,1630-01-31T00:00:00Z
http://www.wikidata.org/entity/Q43392767,Grissell Boill,1629-12-13T00:00:00Z
http://www.wikidata.org/entity/Q43392776,Gellie Robson,1629-11-16T00:00:00Z
http://www.wikidata.org/entity/Q43392704,Christian Thomesoun,1629-09-15T00:00:00Z
http://www.wikidata.org/entity/Q43392719,Agnes Falconer,1629-07-26T00:00:00Z
http://www.wikidata.org/entity/Q43392850,Christian Lewinstoun,1597-11-22T00:00:00Z
http://www.wikidata.org/entity/Q43392825,Jonet Grawie,1596-12-26T00:00:00Z
http://www.wikidata.org/entity/Q43392917,James Reid,1603-07-31T00:00:00Z
http://www.wikidata.org/entity/Q43392965,Elizabeth Sinclair,1661-04-13T00:00:00Z
http://www.wikidata.org/entity/Q43392958,Jonet Lockie,1645-01-10T00:00:00Z
http://www.wikidata.org/entity/Q43392961,Margaret Watsoun,1644-10-09T00:00:00Z
http://www.wikidata.org/entity/Q43392935,Jonet Reid,1643-05-24T00:00:00Z
http://www.wikidata.org/entity/Q43396020,Jonet Colquhone,1679-12-04T00:00:00Z
http://www.wikidata.org/entity/Q43396027,Adam Donaldson,1679-06-11T00:00:00Z
