,Wikidata Page,Name,Residence,Long,Lat,Gender,Ethnicity,Manner of Death,Occupation,Place of Detainment,Social Classification,Wikipedia Page,Place of Death,investigation_start_time
1619,http://www.wikidata.org/entity/Q43391350,Helen Huldie,Coldingham,-2.156753,55.886672,Female,,,,,,,,+00000001629-08-01T00:00:00Z
1620,http://www.wikidata.org/entity/Q43391406,Marion Hislop,Crichton,-2.98249,55.8471,Female,,,,,,,,+00000001679-09-08T00:00:00Z
1621,http://www.wikidata.org/entity/Q43391439,Isobell Houston,Houston,-4.552069444,55.86696944,Female,,,,,,,,+00000001700-03-12T00:00:00Z
1622,http://www.wikidata.org/entity/Q43391503,Geils Harley,Fisherrow,-3.0583,55.9463,Female,,,,,,,,+00000001679-09-08T00:00:00Z
1623,http://www.wikidata.org/entity/Q43391517,Jonnett Finlasoun,Burntisland,-3.233333333,56.05,Female,,,,,,,,+00000001597-07-26T00:00:00Z
1624,http://www.wikidata.org/entity/Q43392339,Jonet Balfour,Haddington,-2.78332,55.95612,Female,,,,,,,,+00000001659-04-27T00:00:00Z
1625,http://www.wikidata.org/entity/Q43392433,Janet Hairstains,Colin,-3.522648,55.068303,Female,,,,,,,,+00000001709-05-03T00:00:00Z
1626,http://www.wikidata.org/entity/Q43394849,Wallas,Irvine,-4.661111111,55.61944444,Female,,,,,,,,+00000001658-04-06T00:00:00Z
1627,http://www.wikidata.org/entity/Q43394851,Marrion Wilsoune,Stenton,-2.6,55.95,Female,,,,,,,,+00000001659-01-23T00:00:00Z
1628,http://www.wikidata.org/entity/Q43394881,Isable Bennet,Roxburgh,-2.4667,55.5667,Female,,,,,,,,+00000001659-04-08T00:00:00Z
1629,http://www.wikidata.org/entity/Q43394885,Cristian Harper,Haddington,-2.78332,55.95612,Female,,,,,,,,+00000001659-04-27T00:00:00Z
1630,http://www.wikidata.org/entity/Q43394982,Janet Robison,Gilmerton,-3.13083,55.905,Female,,,,,,,,+00000001661-00-00T00:00:00Z
1631,http://www.wikidata.org/entity/Q43394984,Elspeth Chib,Liberton,-3.16188,55.9144,Female,,,,,,,,+00000001661-00-00T00:00:00Z
1632,http://www.wikidata.org/entity/Q43394999,Barbara Friece,Auldearn,-3.81595,57.5765,Female,,,,,,,,+00000001662-04-14T00:00:00Z
1633,http://www.wikidata.org/entity/Q43395001,Agnes Grant,Elgin,-3.315277777,57.64638889,Female,,,,,,,,+00000001662-04-14T00:00:00Z
1634,http://www.wikidata.org/entity/Q43395017,Elspet Laird,East Milton,-3.753976,57.556804,Female,,,,,,,,+00000001662-04-14T00:00:00Z
1635,http://www.wikidata.org/entity/Q43395036,Marion Smith,East Saltoun and West Saltoun,-2.8513,55.8989,Female,,,,,,,,+00000001662-04-17T00:00:00Z
1636,http://www.wikidata.org/entity/Q43395038,Beigis Sanderson,Haddington,-2.78332,55.95612,Female,,,,,,,,+00000001662-04-17T00:00:00Z
1637,http://www.wikidata.org/entity/Q43395042,Susanna Bannytyne,Sammuelston,-2.825545,55.92742,Female,,,,,,,,+00000001649-00-00T00:00:00Z
1638,http://www.wikidata.org/entity/Q43395047,Margaret Paterson,Haddington,-2.78332,55.95612,Female,,,,,,,,+00000001662-04-17T00:00:00Z
1639,http://www.wikidata.org/entity/Q43395054,Bessie Thompson,Pencaitland,-2.89098,55.91,Female,,,,,,,,+00000001662-04-17T00:00:00Z
1640,http://www.wikidata.org/entity/Q43395061,Elspeth Fermor,Haddington,-2.78332,55.95612,Female,,,,,,,,+00000001662-04-17T00:00:00Z
1641,http://www.wikidata.org/entity/Q43395062,Jean Daglas,Haddington,-2.78332,55.95612,Female,,,,,,,,+00000001662-04-17T00:00:00Z
1642,http://www.wikidata.org/entity/Q43395072,Anny Rycheson,Haddington,-2.78332,55.95612,Female,,,,,,,,+00000001591-01-27T00:00:00Z
1643,http://www.wikidata.org/entity/Q43395080,Marie nian innes vic Coull,Scottish Highlands,-4.71,57.12,Female,,,,,,,,+00000001669-12-14T00:00:00Z
1644,http://www.wikidata.org/entity/Q43395086,Jeane Laying,Aberdeen,-2.1,57.15,Female,,,,,,,,+00000001670-11-01T00:00:00Z
1645,http://www.wikidata.org/entity/Q43395137,Katherine Mairschell,Eddleston,-3.20651,55.712,Female,,,,,,,,+00000001629-06-11T00:00:00Z
1646,http://www.wikidata.org/entity/Q43395152,Margaret Yerkine,Peebles,-3.18,55.65,Female,,,,,,,,+00000001629-06-11T00:00:00Z
1647,http://www.wikidata.org/entity/Q43395160,Ewfame Dundas,Caithness,-3.5,58.41666667,Female,,,,,,,,+00000001629-06-11T00:00:00Z
1648,http://www.wikidata.org/entity/Q43395202,Elspeth Rule,Dumfries,-3.616666666,55.06666667,Female,,,,,,,,+00000001709-04-15T00:00:00Z
1649,http://www.wikidata.org/entity/Q43395210,Bessie Andro,Wick,-3.089,58.454,Female,,,,,,,,+00000001655-06-01T00:00:00Z
1650,http://www.wikidata.org/entity/Q43395226,Janet Ross,Fenwick,-4.43333,55.65,Female,,,,,,,,+00000001658-04-06T00:00:00Z
1651,http://www.wikidata.org/entity/Q43395226,Janet Ross,Fenwick,-4.4412,55.6604,Female,,,,,,,,+00000001658-04-06T00:00:00Z
1652,http://www.wikidata.org/entity/Q43395231,Barbara Cunninghame,Newton-on-Ayr,-4.625473,55.473285,Female,,,,,,,,+00000001659-03-29T00:00:00Z
1653,http://www.wikidata.org/entity/Q43395258,Christian Lockhart,Lauder,-2.74855,55.7194,Female,,,,,,,,+00000001679-09-09T00:00:00Z
1654,http://www.wikidata.org/entity/Q43395275,Marjorie Mongomerie,Elgin,-3.315277777,57.64638889,Female,,,,,,,,+00000001611-06-11T00:00:00Z
1655,http://www.wikidata.org/entity/Q43395299,Margaret Rid,Bathgate,-3.6431,55.9024,Female,,,,,,,,+00000001617-04-01T00:00:00Z
1656,http://www.wikidata.org/entity/Q43395327,Barbara Home,Kilpunt,-3.444907,55.930768,Female,,,,,,,,+00000001622-05-22T00:00:00Z
1657,http://www.wikidata.org/entity/Q43395363,Issobell Cootis,Bo'ness,-3.608911111,56.01681111,Female,,,,,,,,+00000001624-03-30T00:00:00Z
1658,http://www.wikidata.org/entity/Q43395376,Elspett Neilsoun,Dysart,-3.12538,56.12557,Female,,,,,,,,+00000001626-09-21T00:00:00Z
1659,http://www.wikidata.org/entity/Q43395377,Helene Wilsoun,Dysart,-3.12538,56.12557,Female,,,,,,,,+00000001626-11-21T00:00:00Z
1660,http://www.wikidata.org/entity/Q43395383,Issobell Leslie,Aberdeen,-2.1,57.15,Female,,,,,,,,+00000001626-12-14T00:00:00Z
1661,http://www.wikidata.org/entity/Q43395399,Margaret Udny,Aberdeen,-2.1,57.15,Female,,,,,,,,+00000001627-04-25T00:00:00Z
1662,http://www.wikidata.org/entity/Q43395401,Margaret Ronaldson,Aberdeen,-2.1,57.15,Female,,,,,,,,+00000001627-04-25T00:00:00Z
1663,http://www.wikidata.org/entity/Q43395408,Elizabeth Hamiltoun,North Berwick,-2.717,56.058,Female,,,,,,,,+00000001649-07-11T00:00:00Z
1664,http://www.wikidata.org/entity/Q43395428,Helen Umpherstone,Aberlady,-2.86,56.01,Female,,,,,,,,+00000001649-08-08T00:00:00Z
1665,http://www.wikidata.org/entity/Q43395442,Jennet Wilsone,Haddington,-2.78332,55.95612,Female,,,,,,,,+00000001649-01-15T00:00:00Z
1666,http://www.wikidata.org/entity/Q43395462,Alisone Johnstoune,North Berwick,-2.717,56.058,Female,,,,,,,,+00000001650-05-29T00:00:00Z
1667,http://www.wikidata.org/entity/Q43395463,Barbara Park,North Berwick,-2.717,56.058,Female,,,,,,,,+00000001650-05-29T00:00:00Z
1668,http://www.wikidata.org/entity/Q43395471,Elspeth Falconner,North Berwick,-2.717,56.058,Female,,,,,,,,+00000001650-05-29T00:00:00Z
1669,http://www.wikidata.org/entity/Q43395476,Margarett Broun,Pencaitland,-2.89098,55.91,Female,,,,,,,,+00000001650-06-19T00:00:00Z
1670,http://www.wikidata.org/entity/Q43395482,Jean Shanks,Haddington,-2.78332,55.95612,Female,,,,,,,,+00000001560-07-09T00:00:00Z
1671,http://www.wikidata.org/entity/Q43395483,Bessie Adamsone,Haddington,-2.78332,55.95612,Female,,,,,,,,+00000001650-06-19T00:00:00Z
1672,http://www.wikidata.org/entity/Q43391033,Bessie Friece,Auldearn,-3.81595,57.5765,Female,,,,,,,,+00000001662-04-14T00:00:00Z
1673,http://www.wikidata.org/entity/Q43391111,Jonet Dewar,Haddington,-2.78332,55.95612,Female,,,,,,,,+00000001662-04-17T00:00:00Z
1674,http://www.wikidata.org/entity/Q43391299,Grissell Walker,Humbie,-2.86735,55.8544,Female,,,,,,,,+00000001678-08-13T00:00:00Z
1675,http://www.wikidata.org/entity/Q43391410,Margaret Wilkin,Dumfries,-3.616666666,55.06666667,Female,,,,,,,,+00000001683-06-01T00:00:00Z
1676,http://www.wikidata.org/entity/Q43391425,Jean Whythill,Renfrew,-4.366666666,55.86666667,Female,,,,,,,,+00000001700-03-12T00:00:00Z
1677,http://www.wikidata.org/entity/Q43391488,Helen Tait,Buittle,-3.866,54.942,Female,,,,,,,,+00000001659-04-05T00:00:00Z
1678,http://www.wikidata.org/entity/Q43391506,Marion Robertson,Fisherrow,-3.0583,55.9463,Female,,,,,,,,+00000001679-09-08T00:00:00Z
1679,http://www.wikidata.org/entity/Q43391543,Jonnet Henrie,Skateraw,-2.42762,55.9679,Female,,,,,,,,+00000001612-12-02T00:00:00Z
1680,http://www.wikidata.org/entity/Q43391596,Elspet Paris,Linlithgow,-3.610555555,55.97527778,Female,,,,,,,,+00000001624-02-05T00:00:00Z
1681,http://www.wikidata.org/entity/Q43391617,Marioun Symsoun,Upper Kinneil,-3.645318,55.99669,Female,,,,,,,,+00000001624-03-18T00:00:00Z
1682,http://www.wikidata.org/entity/Q43391657,Mawsie Stowane,Ae Bridgend,-3.55403,55.1656,Female,,,,,,,,+00000001628-06-05T00:00:00Z
1683,http://www.wikidata.org/entity/Q43392151,Janet Pook,Stirling,-3.9369,56.1166,Female,,,,,,,,+00000001590-06-01T00:00:00Z
1684,http://www.wikidata.org/entity/Q43392401,Isobel Bayne,Caithness,-3.5,58.41666667,Female,,,,,,,,+00000001629-06-11T00:00:00Z
1685,http://www.wikidata.org/entity/Q43392403,Janet Henriesdochter,Caithness,-3.5,58.41666667,Female,,,,,,,,+00000001629-06-11T00:00:00Z
1686,http://www.wikidata.org/entity/Q43392414,Jonet Losk,Largs,-4.863611111,55.79388889,Female,,,,,,,,+00000001683-05-01T00:00:00Z
1687,http://www.wikidata.org/entity/Q43392446,Gelis Johnston,Musselburgh,-3.05,55.93333333,Female,,,,,,,,+00000001609-07-20T00:00:00Z
1688,http://www.wikidata.org/entity/Q43392670,Janet Clerksoun,Cauld Law,-3.28158,55.328908,Female,,,,,,,,+00000001629-03-24T00:00:00Z
1689,http://www.wikidata.org/entity/Q43394847,Janet Steil,Kilmaurs,-4.53028,55.6394,Female,,,,,,,,+00000001658-04-06T00:00:00Z
1690,http://www.wikidata.org/entity/Q43394877,Margaret Harvie,Kippen,-4.173,56.127,Female,,,,,,,,+00000001659-03-23T00:00:00Z
1691,http://www.wikidata.org/entity/Q43394895,Marion Logan,Haddington,-2.78332,55.95612,Female,,,,,,,,+00000001659-03-29T00:00:00Z
1692,http://www.wikidata.org/entity/Q43394964,Janet Blackie,Dalkeith,-3.068332,55.893642,Female,,,,,,,,+00000001661-08-03T00:00:00Z
1693,http://www.wikidata.org/entity/Q43394971,Jonet Ewart,Goodtrees Liberton,-3.14,55.9139,Female,,,,,,,,+00000001661-07-26T00:00:00Z
1694,http://www.wikidata.org/entity/Q43394997,Elspeth Makbeith,Auldearn,-3.81595,57.5765,Female,,,,,,,,+00000001662-04-14T00:00:00Z
1695,http://www.wikidata.org/entity/Q43395000,Margaret Brodie,Auldearn,-3.81595,57.5765,Female,,,,,,,,+00000001662-04-14T00:00:00Z
1696,http://www.wikidata.org/entity/Q43395011,Agnes Brodie,Mains of Lethen,-3.777354,57.545634,Female,,,,,,,,+00000001662-04-14T00:00:00Z
1697,http://www.wikidata.org/entity/Q43395029,Helen Birks,Haddington,-2.78332,55.95612,Female,,,,,,,,+00000001662-04-17T00:00:00Z
