item,witch,itemLabel,place_of_detentionLabel,place_of_detention_coordinate,genderLabel,occupationLabel,chargeLabel,classLabel,ethnicLabel,mdeathLabel,cdeathLabel,deathlocLabel,detainLabel
http://www.wikidata.org/entity/Q43390208,A/EGD/1287,Margaret Young,North Queensferry,Point(-3.394166666 56.011111111),female,,,middling,,,,,Dysart
http://www.wikidata.org/entity/Q43390208,A/EGD/1287,Margaret Young,Dysart,Point(-3.12538 56.12557),female,,,middling,,,,,Dysart
http://www.wikidata.org/entity/Q43390247,A/EGD/1323,Grissell Anderson,Torryburn,Point(-3.55 56.05),female,,,,,,,,Torryburn
http://www.wikidata.org/entity/Q43390421,A/EGD/1658,Jonet McClean,Comar,Point(-4.770844 57.341849),female,,,,,,,,Comar
http://www.wikidata.org/entity/Q43390443,A/EGD/1728,Bessie Weir,Paisley,Point(-4.423888888 55.845555555),female,,,,,capital punishment,,Gallows Green,Paisley
http://www.wikidata.org/entity/Q43392128,A/EGD/1731,Jon Stewart,Paisley,Point(-4.423888888 55.845555555),male,,,middling,,capital punishment,,Gallows Green,Paisley
http://www.wikidata.org/entity/Q43392809,A/EGD/118,Cristian Stewart,Edinburgh,Point(-3.189166666 55.953333333),female,vagrant,,pauper,,capital punishment,,,Edinburgh
http://www.wikidata.org/entity/Q43392836,A/EGD/12,Jonet Carfrae,Haddington,Point(-2.78332 55.95612),female,,,,,,,,Haddington
http://www.wikidata.org/entity/Q43392911,A/EGD/1252,Helene Hamiltoun,Leith,Point(-3.17005 55.9801),female,,,,,,,,Leith
http://www.wikidata.org/entity/Q43393066,A/EGD/1365,Isobell (Elspeth) Crockett,Stirling,Point(-3.9369 56.1166),female,,,,,,,,Stirling
http://www.wikidata.org/entity/Q43393482,A/EGD/1548,Elizabeth Guthrie,Montrose,Point(-2.467 56.708),female,,,middling,,,,,Montrose
http://www.wikidata.org/entity/Q43393482,A/EGD/1548,Elizabeth Guthrie,Forfar,Point(-2.89 56.643055555),female,,,middling,,,,,Montrose
http://www.wikidata.org/entity/Q43393482,A/EGD/1548,Elizabeth Guthrie,Montrose,Point(-2.467 56.708),female,,,middling,,,,,Forfar
http://www.wikidata.org/entity/Q43393482,A/EGD/1548,Elizabeth Guthrie,Forfar,Point(-2.89 56.643055555),female,,,middling,,,,,Forfar
http://www.wikidata.org/entity/Q43393607,A/EGD/1611,Margaret Murray,Humbie,Point(-2.86735 55.8544),female,,,,,,,,Humbie
http://www.wikidata.org/entity/Q43393612,A/EGD/1614,Bessie Scott,Corstorphine,Point(-3.28544 55.9429),female,,,working poor,,,,,Corstorphine
http://www.wikidata.org/entity/Q43393697,A/EGD/1651,Kathrin Ninian Ear Vic Ean Culleam,Comar,Point(-4.770844 57.341849),female,,,,,,,,Comar
http://www.wikidata.org/entity/Q43393702,A/EGD/1653,Mary Nein Goune Baike,Comar,Point(-4.770844 57.341849),female,,,,,,,,Comar
http://www.wikidata.org/entity/Q43393829,A/EGD/1705,Grissell Anderson,Torryburn,Point(-3.564398288 56.057636906),female,,,,,,,,Torryburn
http://www.wikidata.org/entity/Q43393833,A/EGD/1706,Margret Horne,Torryburn,Point(-3.55 56.05),female,,,,,,,,Torryburn
http://www.wikidata.org/entity/Q43393835,A/EGD/1707,Cristian May,Torryburn,Point(-3.55 56.05),female,,,,,,,,Torryburn
http://www.wikidata.org/entity/Q43393848,A/EGD/1716,Margaret Neill Vayne,Castle Tioram,Point(-5.829071903 56.784552181),female,,,,,,,,Castle Tioram
http://www.wikidata.org/entity/Q43393874,A/EGD/1734,Jonet Mun,Dumbarton,Point(-4.547222222 55.948611111),female,,,,,,,,Dumbarton
http://www.wikidata.org/entity/Q43393897,A/EGD/1743,Marion Phin,Haddington,Point(-2.78332 55.95612),female,,,middling,,,,,Haddington
http://www.wikidata.org/entity/Q43393900,A/EGD/1744,Marjorie Anderson,Prestonpans,Point(-2.961 55.9597),female,servant,,working poor,,,,,Prestonpans
http://www.wikidata.org/entity/Q43391864,A/LA/2837,Annabel Reid,Renfrew,Point(-4.366666666 55.866666666),female,,,,,,,,Renfrew
http://www.wikidata.org/entity/Q43392523,A/EGD/1002,Agnes Hendersoun,Stirling,Point(-3.9369 56.1166),female,,,,,,,,Stirling
http://www.wikidata.org/entity/Q43392546,A/EGD/1014,Bessie Wright,Perth,Point(-3.433333333 56.395833333),female,,,middling,,,,,Perth
http://www.wikidata.org/entity/Q43392596,A/EGD/1046,Margaret Jo,Musselburgh,Point(-3.054166666 55.941944444),female,,,,,,,,Musselburgh
http://www.wikidata.org/entity/Q43395753,A/JO/3086,Jonet Morisone,Rothesay,Point(-5.055 55.836388888),female,,,,,,,,Rothesay
