Wikidata Page,Name,Residence,Gender,Long,Lat
http://www.wikidata.org/entity/Q43914439,Robert Douglas,"Linton, Scottish Borders",Male,-2.3588,55.5304
http://www.wikidata.org/entity/Q43914442,Alexander Spittal,Stobo,Male,-3.297777777,55.625
http://www.wikidata.org/entity/Q43914451,Michael Scott,Stobo,Male,-3.297777777,55.625
http://www.wikidata.org/entity/Q43914458,James Ramsay,"Arniston, Midlothian",Male,-3.05,55.83
http://www.wikidata.org/entity/Q43914473,John Murray,Romanno,Male,-3.326978,55.721187
http://www.wikidata.org/entity/Q43914492,Patrick Scott,Dalkeith,Male,-3.068332,55.893642
http://www.wikidata.org/entity/Q43914498,Alexander Johnston,Dalkeith,Male,-3.068332,55.893642
http://www.wikidata.org/entity/Q43914504,James Murray,"Skirling, Scottish Borders",Male,-3.4704351,55.635882
http://www.wikidata.org/entity/Q43914511,William Brown,Dolphinton,Male,-3.41667,55.7
http://www.wikidata.org/entity/Q43914519,Lindsay,Comiston,Male,-3.21363,55.9104
http://www.wikidata.org/entity/Q43914530,William Brown,Biggar,Male,-3.5158,55.6221
http://www.wikidata.org/entity/Q43914545,John Ramsay,Whitehill,Male,-3.030577,55.886446
http://www.wikidata.org/entity/Q43914562,William Cuningham,"Carrington, Midlothian",Male,-3.0903,55.8328
http://www.wikidata.org/entity/Q43914566,Colin MacKenzie,Kintail,Male,-5.3522,57.2058
http://www.wikidata.org/entity/Q43914617,John MacKenzie,Gairloch,Male,-5.691,57.728
http://www.wikidata.org/entity/Q43914619,William Lowes,Peebles,Male,-3.18,55.65
http://www.wikidata.org/entity/Q43914631,John Brown,Smailholm,Male,-2.56667,55.6167
http://www.wikidata.org/entity/Q43914646,Alexander Bain,"Tulloch, Perth and Kinross",Male,-3.468,56.413
http://www.wikidata.org/entity/Q43914677,Thomas Smith,Inveresk,Male,-3.0468,55.9366
http://www.wikidata.org/entity/Q43914682,William Douglas,Jedburgh,Male,-2.546,55.477
http://www.wikidata.org/entity/Q43914685,Alexander Menzies,Weem,Male,-3.88739,56.6257
http://www.wikidata.org/entity/Q43914688,William Stewart,Grandtully,Male,-3.77639,56.657
http://www.wikidata.org/entity/Q43914698,Robert Bruce,Clackmannan,Male,-3.74652,56.1091
http://www.wikidata.org/entity/Q43914730,John Sinclair,Ulbster,Male,-3.1567,58.3549
http://www.wikidata.org/entity/Q43914775,John Innes,Reay,Male,-3.775,58.559
http://www.wikidata.org/entity/Q43914791,Sinclair,Scrabster,Male,-3.5525,58.60972222
http://www.wikidata.org/entity/Q43914819,James Ogilvie,"Airlie, Angus",Male,-3.12362,56.6493
http://www.wikidata.org/entity/Q43914825,John Erskine,Forfar,Male,-2.89,56.64305556
http://www.wikidata.org/entity/Q43914877,William Hart,"Preston, East Lothian",Male,-2.979,55.9547
http://www.wikidata.org/entity/Q43914899,William Clerk,Dalkeith,Male,-3.068332,55.893642
http://www.wikidata.org/entity/Q43914929,Patrick Hepburn,Haddington,Male,-2.78332,55.95612
http://www.wikidata.org/entity/Q43914946,James Douglas,"Spott, East Lothian",Male,-2.52417,55.9722
http://www.wikidata.org/entity/Q43914954,David Murray,Scone,Male,-3.404,56.4179
http://www.wikidata.org/entity/Q43914987,Patrick Hepburn,"Smeaton, East Lothian",Male,-2.6525,55.9986
http://www.wikidata.org/entity/Q43915021,James Dundas,Duddingston,Male,-3.14673,55.9416
http://www.wikidata.org/entity/Q43915050,Alexander Livingston,Linlithgow,Male,-3.610555555,55.97527778
http://www.wikidata.org/entity/Q43915082,Sandilands,St Monans,Male,-2.76658,56.206
http://www.wikidata.org/entity/Q43915132,James Bannatyne,Bathgate,Male,-3.6431,55.9024
http://www.wikidata.org/entity/Q43915137,John Hamilton,Haddington,Male,-2.78332,55.95612
http://www.wikidata.org/entity/Q43915168,David Brown,Fife,Male,-3.2,56.25
http://www.wikidata.org/entity/Q43915175,John Fleming,Wigtown,Male,-4.443888888,54.8675
