Wikidata Page,Name,Residence,Gender,Occupation,Long,Lat
http://www.wikidata.org/entity/Q43911487,William Roberton,Prestonpans,Male,Bailie,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43914470,Willliam Simpson,Dysart,Male,Bailie,-3.1254 ,56.1256
http://www.wikidata.org/entity/Q43912024,Alexander Cairns,Dunbar,Male,Beadle,-2.522777777 ,55.998333333
http://www.wikidata.org/entity/Q43913421,Peter Blackburn,Aberdeen,Male,Bishop,-2.1 ,57.15
http://www.wikidata.org/entity/Q43914985,William Cooper,New Galloway,Male,Bishop,-4.140305 ,55.075756
http://www.wikidata.org/entity/Q43915956,Adam Clark,Prestonpans,Male,Blacksmith,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43911033,Alexander (Sanders) Menzies,Aberdeen,Male,Burgess,-2.1 ,57.15
http://www.wikidata.org/entity/Q43916103,Alexander Napier,Edinburgh,Male,Burgess,-3.1989 ,55.95
http://www.wikidata.org/entity/Q43916124,Alexander Ritchie,Banff,Male,Burgess,-2.524 ,57.667
http://www.wikidata.org/entity/Q43914800,Andrew MacCulloch,Tain,Male,Burgess,-4.0567 ,57.8118
http://www.wikidata.org/entity/Q43916104,Andrew Napier,Edinburgh,Male,Burgess,-3.1989 ,55.95
http://www.wikidata.org/entity/Q43911619,Archibald Glass,Rothesay,Male,Burgess,-5.05 ,55.833333333
http://www.wikidata.org/entity/Q43911642,Colin Stewart,Rothesay,Male,Burgess,-5.05 ,55.833333333
http://www.wikidata.org/entity/Q43912310,David Falconer,St Andrews,Male,Burgess,-2.798888888 ,56.338888888
http://www.wikidata.org/entity/Q43914961,James Adamson,Perth,Male,Burgess,-3.4317 ,56.3953
http://www.wikidata.org/entity/Q43911342,John Anderson,Inverkeithing,Male,Burgess,-3.383333333 ,56.033333333
http://www.wikidata.org/entity/Q43914847,John Arnott,Edinburgh,Male,Burgess,-3.1989 ,55.95
http://www.wikidata.org/entity/Q43911334,John Bairdie,Inverkeithing,Male,Burgess,-3.383333333 ,56.033333333
http://www.wikidata.org/entity/Q43915922,John Dynning,Glasgow,Male,Burgess,-4.27 ,55.87
http://www.wikidata.org/entity/Q43911606,John Gray,Rothesay,Male,Burgess,-5.05 ,55.833333333
http://www.wikidata.org/entity/Q43911612,John Kelburn,Rothesay,Male,Burgess,-5.05 ,55.833333333
http://www.wikidata.org/entity/Q43911612,John Kelburn,Rothesay,Male,Burgess,-5.05 ,55.833333333
http://www.wikidata.org/entity/Q43916076,John Lawson,Glasgow,Male,Burgess,-4.27 ,55.87
http://www.wikidata.org/entity/Q43916186,John Pow,Haddington,Male,Burgess,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43916191,Richard White,Haddington,Male,Burgess,-2.78332 ,55.95612
