Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Place of Detainment
http://www.wikidata.org/entity/Q43393146,Elspeth Gutherie,Forfar,-2.89,56.64305556,Female,Montrose
http://www.wikidata.org/entity/Q43394463,Janet Sym,Montrose,-2.605833333,56.70805556,Female,Montrose
http://www.wikidata.org/entity/Q43392596,Margaret Jo,Musselburgh,-3.05,55.93333333,Female,Musselburgh
http://www.wikidata.org/entity/Q43394932,Marion Greinlaw,Sunnyside,-3.143093,55.920836,Female,Musselburgh
http://www.wikidata.org/entity/Q43392366,Margaret Rammage,Edmonstone,-3.115893,55.917566,Female,Musselburgh
http://www.wikidata.org/entity/Q43392482,Margaret Stevensoun,Newton,-3.069835,55.917035,Female,Musselburgh
http://www.wikidata.org/entity/Q43392400,Janet Barclay,Fisherrow,-3.0583,55.9463,Female,Musselburgh
http://www.wikidata.org/entity/Q43392346,Agnes Thomson,Newton-on-Ayr,-4.625473,55.473285,Female,Musselburgh
http://www.wikidata.org/entity/Q43395743,Jennet Watt,Newbattle,-3.0775,55.8817,Female,Newbattle
http://www.wikidata.org/entity/Q43395739,Geills Chartes,Newbattle,-3.0775,55.8817,Female,Newbattle
http://www.wikidata.org/entity/Q43391925,Jennet Wilson,Keith Kirk and Marischal,-2.881727,55.869354,Female,Newbattle
http://www.wikidata.org/entity/Q43392218,Helen Widdrow,East Barfillian,-4.571226,55.878559,Female,Nobleston
http://www.wikidata.org/entity/Q43391671,Wife of Whyte,North Berwick,-2.717,56.058,Female,North Berwick
http://www.wikidata.org/entity/Q43394286,Margaret Dauling,North Queensferry,-3.39444,56.0111,Female,North Queensferry
http://www.wikidata.org/entity/Q43394280,Janet Mowbray,North Queensferry,-3.39444,56.0111,Female,North Queensferry
http://www.wikidata.org/entity/Q43392487,Margaret Shearer,Erskine Park,-4.477295,55.918211,Female,Paisley
http://www.wikidata.org/entity/Q43390645,Margrat Scherar,Kincardine,-3.719,56.069,Female,Paisley
http://www.wikidata.org/entity/Q43393779,Marioun Twedy,Kirkurd,-3.3889174,55.684214,Female,Peebles
http://www.wikidata.org/entity/Q43390493,Marioun Robiesone,Kirkurd,-3.3889174,55.684214,Female,Peebles
http://www.wikidata.org/entity/Q43392281,Marion Watsone,Peebles,-3.18,55.65,Female,Peebles
http://www.wikidata.org/entity/Q43391359,Margaret Dalgleish,Humbie,-2.86735,55.8544,Female,Peebles
http://www.wikidata.org/entity/Q43393781,Bessie Forrest,"Skirling, Scottish Borders",-3.4704351,55.635882,Female,Peebles
http://www.wikidata.org/entity/Q43390590,Bessie Eumond,Peebles,-3.18,55.65,Female,Peebles
http://www.wikidata.org/entity/Q43395132,Janet Campbell,Haddington,-2.78332,55.95612,Female,Perth
http://www.wikidata.org/entity/Q43395348,Issobell Haldane,Perth,-3.431666666,56.39527778,Female,Perth
http://www.wikidata.org/entity/Q43395349,Margaret Hormscleugh,Perth,-3.431666666,56.39527778,Female,Perth
http://www.wikidata.org/entity/Q43395266,Agnes MaCaw,Perth,-3.431666666,56.39527778,Female,Perth
http://www.wikidata.org/entity/Q43394534,Janet Cornfoot,Leuchars,-2.8835,56.3814,Female,Pittenweem
http://www.wikidata.org/entity/Q43394665,Janet Horseburgh,Pittenweem,-2.728611111,56.21305556,Female,Pittenweem
http://www.wikidata.org/entity/Q43394529,Isobel Adam,Pittenweem,-2.728611111,56.21305556,Female,Pittenweem
http://www.wikidata.org/entity/Q43394667,Lillias Wallace,Pittenweem,-2.728611111,56.21305556,Female,Pittenweem
http://www.wikidata.org/entity/Q43392258,Katharine Liddell,Prestonpans,-2.961,55.9597,Female,Prestonpans
http://www.wikidata.org/entity/Q43392256,Agnes Kelly,Prestonpans,-2.961,55.9597,Female,Prestonpans
http://www.wikidata.org/entity/Q43391864,Annabel Reid,Inchinnan,-4.41667,55.8833,Female,Renfrew
http://www.wikidata.org/entity/Q43391867,Margaret Ewing,Stonybrae,-4.419533,55.821263,Female,Renfrew
http://www.wikidata.org/entity/Q43395952,Jannet Rodgers,Greenock,-4.766666666,55.95,Female,Renfrew
http://www.wikidata.org/entity/Q43395954,Jean Anderson,Inchinnan,-4.41667,55.8833,Female,Renfrew
http://www.wikidata.org/entity/Q43394393,Jonnet Galbraith,Greenock,-4.766666666,55.95,Female,Renfrew
http://www.wikidata.org/entity/Q43395955,Martha Sempell,Renfrew,-4.366666666,55.86666667,Female,Renfrew
http://www.wikidata.org/entity/Q43395957,Katherine Flowers,Craigton Burn,-4.4972,55.8997,Female,Renfrew
http://www.wikidata.org/entity/Q43394399,Jonet Loudoun,Inverkip,-4.8735,55.912,Female,Renfrew
http://www.wikidata.org/entity/Q43395953,Margaret Rodgers,Greenock,-4.766666666,55.95,Female,Renfrew
http://www.wikidata.org/entity/Q43394391,Jonet Paterson,Inverkip,-4.8735,55.912,Female,Renfrew
http://www.wikidata.org/entity/Q43394396,Jeane Scott,Inverkip,-4.8735,55.912,Female,Renfrew
http://www.wikidata.org/entity/Q43393291,Jonet Scrogges,Rhynd,-3.36614,56.3648,Female,Rhynd
http://www.wikidata.org/entity/Q43393296,Cristian Vallandge,Rhynd,-3.36614,56.3648,Female,Rhynd
http://www.wikidata.org/entity/Q43393301,Kathrin Bowar,Rhynd,-3.36614,56.3648,Female,Rhynd
http://www.wikidata.org/entity/Q43393288,Gray,Rhynd,-3.36614,56.3648,Female,Rhynd
http://www.wikidata.org/entity/Q43393149,Margaret Dron,Rhynd,-3.36614,56.3648,Female,Rhynd
http://www.wikidata.org/entity/Q43393298,Elspeth Tod,Rhynd,-3.36614,56.3648,Female,Rhynd
http://www.wikidata.org/entity/Q43395753,Jonet Morisone,Rothesay,-5.05,55.83333333,Female,Rothesay
http://www.wikidata.org/entity/Q43393430,Margaret NcLevin,Kames Hill,-5.113425,55.877998,Female,Rothesay
http://www.wikidata.org/entity/Q43393857,Molphrie Porteous,Scalloway,-1.266666666,60.13333333,Female,Scalloway
http://www.wikidata.org/entity/Q43393863,Suna Voe,Houll,-1.305911,60.238432,Female,Scalloway
http://www.wikidata.org/entity/Q43393855,Marget Bigland,Scalloway,-1.266666666,60.13333333,Female,Scalloway
http://www.wikidata.org/entity/Q43395373,Jonet Straton,Haddington,-2.78332,55.95612,Female,Seton
http://www.wikidata.org/entity/Q43393824,Issobell Key,St Andrews,-2.798888888,56.33888889,Female,St Andrews
http://www.wikidata.org/entity/Q43392459,Helen Cummyng,Aberdour,-3.3021,56.0528,Female,St Colme House
http://www.wikidata.org/entity/Q43392461,Alesoune Hutchesoune,Aberdour,-3.3021,56.0528,Female,St Colme House
http://www.wikidata.org/entity/Q43395328,Agnes Robertsone,Aberdour,-3.3021,56.0528,Female,St Colme House
http://www.wikidata.org/entity/Q43392456,Agnes Quarrier,Aberdour,-3.3021,56.0528,Female,St Colme House
http://www.wikidata.org/entity/Q43395438,Agnes Angus,Stenton,-2.6,55.95,Female,Stenton
http://www.wikidata.org/entity/Q43392523,Agnes Hendersoun,St. Ninians,-3.939,56.103,Female,Stirling
http://www.wikidata.org/entity/Q43393066,Isobell (Elspeth) Crockett,Garvel,-3.873208,56.125023,Female,Stirling
http://www.wikidata.org/entity/Q43390895,Kathrin Black,Alloa,-3.8,56.11666667,Female,Stirling
http://www.wikidata.org/entity/Q43391732,Issobell Watsonne,Glendevon,-3.668572,56.227187,Female,Stirling
http://www.wikidata.org/entity/Q43390891,Elizabeth Black,Alloa,-3.8,56.11666667,Female,Stirling
http://www.wikidata.org/entity/Q43395276,Issobell McKie,Stirling,-3.9369,56.1166,Female,Stirling
http://www.wikidata.org/entity/Q43395691,Jonet Crawfurd,Dollar,-3.66814,56.1625,Female,Stirling
http://www.wikidata.org/entity/Q43393886,Mary Mitchell,Stirling,-3.9369,56.1166,Female,Stirling
http://www.wikidata.org/entity/Q43393891,Janet McNair,Stirling,-3.9369,56.1166,Female,Stirling
http://www.wikidata.org/entity/Q43392334,Bessie Stevenson,Stirling,-3.9369,56.1166,Female,Stirling
http://www.wikidata.org/entity/Q43391743,Catherin Kello,Dollar,-3.66814,56.1625,Female,Stirling
http://www.wikidata.org/entity/Q43394855,Janet Millar,Tullibody,-3.83641,56.1354,Female,Stirling
http://www.wikidata.org/entity/Q43394021,Helen Andrew,Thurso,-3.521111111,58.59611111,Female,Thurso
http://www.wikidata.org/entity/Q43394022,Jannet Pyper,Thurso,-3.521111111,58.59611111,Female,Thurso
