Wikidata Page,Name,Residence,Longitude,Latitude,Gender
http://www.wikidata.org/entity/Q43393119,Barbara Hood,Chirnside,-2.209,55.8021,Female
http://www.wikidata.org/entity/Q43393137,Helen Guthery,Forfar,-2.89,56.64305556,Female
http://www.wikidata.org/entity/Q43393192,Elspeth Seatoun,Lindores,-3.19051,56.3387,Female
http://www.wikidata.org/entity/Q43393204,Helen Wentoun,Newburgh,-3.2383,56.3517,Female
http://www.wikidata.org/entity/Q43393207,Issobell Page,Newburgh,-3.2383,56.3517,Female
http://www.wikidata.org/entity/Q43393225,Christian Cuthbertson,North Queensferry,-3.39444,56.0111,Female
http://www.wikidata.org/entity/Q43393260,Bessie Proffit,Coldingham,-2.156753,55.886672,Female
http://www.wikidata.org/entity/Q43393348,Elizabeth Clow,Forgan,-2.9321,56.4236,Female
http://www.wikidata.org/entity/Q43393381,Anna Law,Dunning,-3.58896,56.3118,Female
http://www.wikidata.org/entity/Q43393391,Jonet Bining,Clathymore,-3.603294,56.374352,Female
http://www.wikidata.org/entity/Q43393396,Jonet Allan,Innergask,-3.614749,56.37595,Female
http://www.wikidata.org/entity/Q43393414,Margret Rankin,Inverkip,-4.8735,55.912,Female
http://www.wikidata.org/entity/Q43393422,Margret McIllvein,Isle of Bute,-5.05636,55.83569,Female
http://www.wikidata.org/entity/Q43393425,Issobell McCan,Isle of Bute,-5.05636,55.83569,Female
http://www.wikidata.org/entity/Q43393443,Daughter of Alexander McIllmartin,Kelspoke Castle,-5.0183,55.7432,Female
http://www.wikidata.org/entity/Q43393505,Jonet Nein Ean Cheill,Buntoit,-4.664676,57.340454,Female
http://www.wikidata.org/entity/Q43393551,Jonnet Cleghorne,Niddry,-3.458308,55.949861,Female
http://www.wikidata.org/entity/Q43393556,Jonnet Young,Niddry,-3.458308,55.949861,Female
http://www.wikidata.org/entity/Q43393625,Rachael Forrester,Haddington,-2.78332,55.95612,Female
http://www.wikidata.org/entity/Q43393645,Katherine Hendersoun,Chirnside,-2.209,55.8021,Female
http://www.wikidata.org/entity/Q43393650,Janet Gray,Chirnside,-2.209,55.8021,Female
http://www.wikidata.org/entity/Q43393654,Margaret Lyis,Galashiels,-2.818888888,55.62055556,Female
http://www.wikidata.org/entity/Q43393675,Christian Syme,North Queensferry,-3.39444,56.0111,Female
http://www.wikidata.org/entity/Q43393738,Jonet Holm,Inverkip,-4.8735,55.912,Female
http://www.wikidata.org/entity/Q43393753,Janet Smelie,Ayr,-4.627777777,55.46388889,Female
http://www.wikidata.org/entity/Q43393754,Bessie Watson,Cromarty,-4.03701,57.6816,Female
http://www.wikidata.org/entity/Q43393755,Jonet Hewison,Houston and Killellan,-4.555,55.873,Female
http://www.wikidata.org/entity/Q43393786,Susanna Alexander,Aberdour,-3.3021,56.0528,Female
http://www.wikidata.org/entity/Q43393788,Jonet Bell,Aberdour,-3.3021,56.0528,Female
http://www.wikidata.org/entity/Q43393790,Janet Groat,Cannisbay,-3.131511,58.628511,Female
http://www.wikidata.org/entity/Q43393804,Gilleis Hutton,Crook of Devon,-3.55,56.1667,Female
http://www.wikidata.org/entity/Q43393852,Marion Purdie,Edinburgh,-3.198888888,55.95,Female
http://www.wikidata.org/entity/Q43389966,Janet Darling,Prestonpans,-2.961,55.9597,Female
http://www.wikidata.org/entity/Q43390054,Janet Weir,Barrachnie,-4.134,55.8507,Female
http://www.wikidata.org/entity/Q43391831,Bessie Innes,"Swordale, Ross-shire",-4.37256,57.6552,Female
http://www.wikidata.org/entity/Q43391899,Jannet Temple,Govan,-4.3083,55.8615,Female
http://www.wikidata.org/entity/Q43391966,Bessie Berk,Lakeheady,-3.579333,55.177814,Female
http://www.wikidata.org/entity/Q43391977,Christian Sinclair,Craigie,-4.49413,55.56112,Female
http://www.wikidata.org/entity/Q43392106,Issobell Robertsoun,Arbroath,-2.585705555,56.56138611,Female
http://www.wikidata.org/entity/Q43392113,Jonet Duncane,Kintyrie,-3.006779,56.707505,Female
http://www.wikidata.org/entity/Q43392493,Marion Bartleman,Houston,-4.552069444,55.86696944,Female
http://www.wikidata.org/entity/Q43392501,Margaret Temple,Govan,-4.3083,55.8615,Female
http://www.wikidata.org/entity/Q43392505,Margaret Hammilton,Bo'ness,-3.608911111,56.01681111,Female
http://www.wikidata.org/entity/Q43392509,Agnes Hucheon,Ayr,-4.627777777,55.46388889,Female
http://www.wikidata.org/entity/Q43392539,Barbara Mathie,Prestonpans,-2.961,55.9597,Female
http://www.wikidata.org/entity/Q43392588,Marion nein Gillimichaell,Edderton,-4.17026,57.8311,Female
http://www.wikidata.org/entity/Q43392632,Ane Nairn,Haddington,-2.78332,55.95612,Female
http://www.wikidata.org/entity/Q43392687,Janet Scherar,Dalkeith,-3.068332,55.893642,Female
http://www.wikidata.org/entity/Q43392704,Christian Thomesoun,Penicuik,-3.22,55.826,Female
http://www.wikidata.org/entity/Q43392719,Agnes Falconer,Eyemouth,-2.090555555,55.86944444,Female
http://www.wikidata.org/entity/Q43392767,Grissell Boill,Glasgow,-4.27,55.87,Female
http://www.wikidata.org/entity/Q43392776,Gellie Robson,Garloff,-3.704267,55.014035,Female
http://www.wikidata.org/entity/Q43392783,Margaret Callander,Fife,-3.2,56.25,Female
http://www.wikidata.org/entity/Q43392804,Elspet Bladderstouns,Torryburn,-3.55,56.05,Female
http://www.wikidata.org/entity/Q43395711,Christian Gibb,Cramond,-3.3,55.9667,Female
http://www.wikidata.org/entity/Q43395731,Agnes Donaldson,Kelso,-2.416666666,55.58333333,Female
http://www.wikidata.org/entity/Q43395740,Margaret Litle,Newbattle,-3.0775,55.8817,Female
http://www.wikidata.org/entity/Q43395746,Elspet Stith,Balmerino,-3.043,56.411,Female
http://www.wikidata.org/entity/Q43395751,Margrat NcWilliam,Crossmore,-5.054266,55.821875,Female
http://www.wikidata.org/entity/Q43395754,Kathrine Largizean,Isle of Bute,-5.05636,55.83569,Female
http://www.wikidata.org/entity/Q43395778,Christian Malcolmson,Ross and Cromarty,-5,57.66666667,Female
http://www.wikidata.org/entity/Q43395793,Margaret Neyn Gavin,Tain,-4.0567,57.8118,Female
http://www.wikidata.org/entity/Q43395821,Helene,Aboyne,-2.77949,57.0766,Female
http://www.wikidata.org/entity/Q43395825,Cristiane Wilsoune,Eyemouth,-2.090555555,55.86944444,Female
http://www.wikidata.org/entity/Q43395866,Grissel Scot,Newton,-2.776134,55.873928,Female
http://www.wikidata.org/entity/Q43395872,Bessie Dickson,Bolton,-2.79042,55.9205,Female
http://www.wikidata.org/entity/Q43395876,Neving McGhee,Kirkinner,-4.45,54.8167,Female
http://www.wikidata.org/entity/Q43395885,Janet Anderson,Selkirk,-2.833333333,55.53333333,Female
http://www.wikidata.org/entity/Q43395889,Helene Scot,"Maxton, Roxburghshire",-2.6151,55.563,Female
http://www.wikidata.org/entity/Q43395950,Issobell Lachlane,Renfrew,-4.366666666,55.86666667,Female
http://www.wikidata.org/entity/Q43395992,Grissell Rankin,Fife,-3.2,56.25,Female
http://www.wikidata.org/entity/Q43395997,Agnes Baxter,Spilmersford,-2.875811,55.913133,Female
http://www.wikidata.org/entity/Q43395998,Wife of Alexander Aitkin,Haddington,-2.78332,55.95612,Female
http://www.wikidata.org/entity/Q43396006,Catherein Thomasdochter,Foula,-2.066666666,60.13333333,Female
http://www.wikidata.org/entity/Q43396008,Kathareen Manson,Birsay,-3.335278,59.136944,Female
http://www.wikidata.org/entity/Q43396011,Helen A Wallis,Orkney Islands,-3,59,Female
http://www.wikidata.org/entity/Q43396020,Jonet Colquhone,Bo'ness,-3.608911111,56.01681111,Female
http://www.wikidata.org/entity/Q43396050,Helen Wood,Crail,-2.6263,56.2608,Female
http://www.wikidata.org/entity/Q43396065,Hellein Girvan,Ayr,-4.627777777,55.46388889,Female
http://www.wikidata.org/entity/Q43396071,Jonet Neilson,Kirkcudbright,-4.051666666,54.83527778,Female
http://www.wikidata.org/entity/Q43396091,Gill Goddie,Dundonald,-4.59583333,55.57916667,Female
http://www.wikidata.org/entity/Q43396096,John Sheddon,Largs,-4.863611111,55.79388889,Female
http://www.wikidata.org/entity/Q43396097,Margaret Montgomerie,Irvine,-4.661111111,55.61944444,Female
http://www.wikidata.org/entity/Q43396118,Isobel Hutchison,Irvine,-4.661111111,55.61944444,Female
http://www.wikidata.org/entity/Q43396120,Agnes Dunlop,Irvine,-4.661111111,55.61944444,Female
http://www.wikidata.org/entity/Q43396148,Jonet Rank,Houston,-4.552069444,55.86696944,Female
http://www.wikidata.org/entity/Q43396166,Marion Browne,Woodhall,-2.914625,55.903491,Female
http://www.wikidata.org/entity/Q43396188,Katherine Wilson,Eyemouth,-2.090555555,55.86944444,Female
http://www.wikidata.org/entity/Q43396197,Agnes Nein Donnald Kir,Elgin,-3.315277777,57.64638889,Female
http://www.wikidata.org/entity/Q43396225,Dame Logye,Arbroath,-2.585705555,56.56138611,Female
http://www.wikidata.org/entity/Q43396231,Betie Wobster,Coupar Angus,-3.266958,56.546425,Female
http://www.wikidata.org/entity/Q43396233,Issobell Sutye,Balglassie,-2.757145,56.708402,Female
http://www.wikidata.org/entity/Q43396235,Fischearis Docter,Lundie,-3.15378,56.5152,Female
http://www.wikidata.org/entity/Q43396243,Cristeane Johnnestoun,St John's Well,-2.338797,57.419357,Female
http://www.wikidata.org/entity/Q43390042,Margaret Wilson,Lanark,-3.77702,55.6749,Female
http://www.wikidata.org/entity/Q43390114,Janet Robsoun,Dumfries,-3.616666666,55.06666667,Female
http://www.wikidata.org/entity/Q43390219,Africk Elam,Knockibae,-4.846811,54.954714,Female
http://www.wikidata.org/entity/Q43390261,Margret Walker,Old Pentland,-3.177236,55.88251,Female
http://www.wikidata.org/entity/Q43390298,Margaret Lister,Crook of Devon,-3.55,56.1667,Female
http://www.wikidata.org/entity/Q43390391,Janet Fairlie,Kelso,-2.416666666,55.58333333,Female
http://www.wikidata.org/entity/Q43392201,Agnes Wilson,Eyemouth,-2.090555555,55.86944444,Female
http://www.wikidata.org/entity/Q43392240,Margaret Huggon,Crook of Devon,-3.55,56.1667,Female
http://www.wikidata.org/entity/Q43392552,Margaret Barrowman,Easthouses,-3.0485,55.879,Female
http://www.wikidata.org/entity/Q43392561,Janet Smiberd,Middletoun,-2.879771,55.745625,Female
http://www.wikidata.org/entity/Q43392571,Jonat Drummond,Haddington,-2.78332,55.95612,Female
http://www.wikidata.org/entity/Q43392607,Katherine Browne,Lauder,-2.74855,55.7194,Female
http://www.wikidata.org/entity/Q43392610,Alesoun Tailyeour,Pencaitland,-2.89098,55.91,Female
http://www.wikidata.org/entity/Q43392616,Margaret Baxter,Dunbar,-2.522777777,55.99833333,Female
http://www.wikidata.org/entity/Q43392644,Isobel Wright,Melrose,-2.716666666,55.58333333,Female
http://www.wikidata.org/entity/Q43392747,Susanna Skaitsone,Clerkington,-2.791277,55.944189,Female
http://www.wikidata.org/entity/Q43392764,Janet Miller,Glasgow,-4.27,55.87,Female
http://www.wikidata.org/entity/Q43392786,Janet Currie,Crimond,-1.914,57.601,Female
http://www.wikidata.org/entity/Q43392791,Marion Hannay,Dumfries,-3.616666666,55.06666667,Female
http://www.wikidata.org/entity/Q43392793,Katherine McCheyne,Lochmaben,-3.4413,55.1281,Female
http://www.wikidata.org/entity/Q43392797,Margaret Affleck,Dumfries,-3.616666666,55.06666667,Female
http://www.wikidata.org/entity/Q43392799,Marion Martine,Barfill,-3.800497,55.035144,Female
http://www.wikidata.org/entity/Q43392820,Bessie Guiddale,Dysart,-3.12538,56.12557,Female
http://www.wikidata.org/entity/Q43392842,Christian Steill,Cousland,-2.995274,55.904962,Female
http://www.wikidata.org/entity/Q43392858,Alesone Coline,Duns,-2.3426,55.7784,Female
http://www.wikidata.org/entity/Q43392876,Janet Wallace,Ochiltree,-4.36151,55.4617,Female
http://www.wikidata.org/entity/Q43392880,Mallie Cowper,Footdee,-2.0711,57.1438,Female
http://www.wikidata.org/entity/Q43392928,Jean Barbour,Tongland,-4.0307,54.8637,Female
http://www.wikidata.org/entity/Q43393031,Helene Deanes,Sammuelston,-2.825545,55.92742,Female
http://www.wikidata.org/entity/Q43393034,Helen Sharpe,Haddington,-2.78332,55.95612,Female
http://www.wikidata.org/entity/Q43393059,Issobell Smith,Bolton,-2.79042,55.9205,Female
http://www.wikidata.org/entity/Q43393082,Elspeth Grinlaw,North Queensferry,-3.39444,56.0111,Female
http://www.wikidata.org/entity/Q43393256,Margret Kirktoun,Twynholm,-4.08328,54.8646,Female
http://www.wikidata.org/entity/Q43393266,Margret Edingtoun,"Foulden, Scottish Borders",-2.1148,55.7954,Female
http://www.wikidata.org/entity/Q43393271,Margret Robison,Eyemouth,-2.090555555,55.86944444,Female
http://www.wikidata.org/entity/Q43393278,Margret Jonstoun,Eyemouth,-2.090555555,55.86944444,Female
http://www.wikidata.org/entity/Q43393308,Elspeth Anderson,Higham,-3.175997,56.360684,Female
http://www.wikidata.org/entity/Q43393337,Jonet Hynman,Inverkip,-4.8735,55.912,Female
http://www.wikidata.org/entity/Q43393376,Issobell Goold,Dunning,-3.58896,56.3118,Female
http://www.wikidata.org/entity/Q43393407,Jonet Crauford,Largs,-4.863611111,55.79388889,Female
http://www.wikidata.org/entity/Q43393412,Jean King,Inverkip,-4.8735,55.912,Female
http://www.wikidata.org/entity/Q43393438,Marie Stewart,Kilbride,-5.144909,55.863706,Female
http://www.wikidata.org/entity/Q43393477,Margret McKenzie,Greenock,-4.766666666,55.95,Female
http://www.wikidata.org/entity/Q43393518,Kathrin Nein Ean Vic Connell Eir,Buntoit,-4.664676,57.340454,Female
http://www.wikidata.org/entity/Q43393583,Margaret Strachan,Tranent,-2.95417,55.9447,Female
http://www.wikidata.org/entity/Q43393630,Jeane Walker,Carriden,-3.566848,56.009756,Female
http://www.wikidata.org/entity/Q43393669,Margaret Dick,Borthwick,-3.0112,55.8251,Female
http://www.wikidata.org/entity/Q43393680,Janet Cockburn,Pencaitland,-2.89098,55.91,Female
http://www.wikidata.org/entity/Q43393688,Rossina Oswald,Inverkeithing,-3.383333333,56.03333333,Female
http://www.wikidata.org/entity/Q43393720,Marjorie Richie,Inverarity,-2.89705,56.5856,Female
http://www.wikidata.org/entity/Q43393725,Elspeth Jonstoun,Methven,-3.58,56.415,Female
http://www.wikidata.org/entity/Q43393736,Jonet Muir,Inverkip,-4.8735,55.912,Female
http://www.wikidata.org/entity/Q43393772,Elizabeth Dempster,Crook of Devon,-3.55,56.1667,Female
http://www.wikidata.org/entity/Q43393785,Christian Young,Crook of Devon,-3.55,56.1667,Female
http://www.wikidata.org/entity/Q43393787,Margaret McNish,Crook of Devon,-3.55,56.1667,Female
http://www.wikidata.org/entity/Q43393829,Grissell Anderson,Torryburn,-3.55,56.05,Female
http://www.wikidata.org/entity/Q43390545,Katherine Cruikshank,Fisherrow,-3.0583,55.9463,Female
http://www.wikidata.org/entity/Q43390661,Jonat Davidsone,Ellon,-2.086,57.366,Female
http://www.wikidata.org/entity/Q43390786,Issobell Kelloch,Dalgety Bay,-3.36755,56.0429,Female
http://www.wikidata.org/entity/Q43390798,Issobell Alexander,Scotstoun,-3.3646,55.6937,Female
http://www.wikidata.org/entity/Q43390816,Margaret Bezok,Fortrose,-4.13237,57.5815,Female
http://www.wikidata.org/entity/Q43390820,Margaret Williamsone,Kirkcaldy,-3.167369444,56.11073056,Female
http://www.wikidata.org/entity/Q43390875,Margaret Allan,Dunlop,-4.54,55.7,Female
http://www.wikidata.org/entity/Q43390957,Elspeth Mowat,Liberton,-3.16188,55.9144,Female
http://www.wikidata.org/entity/Q43392278,Margaret Barbour,Woolmet,-3.11247,55.92151,Female
http://www.wikidata.org/entity/Q43392343,Katharine Gibsone,Prestonpans,-2.961,55.9597,Female
http://www.wikidata.org/entity/Q43392352,Elspeth Fouller,Tranent,-2.95417,55.9447,Female
http://www.wikidata.org/entity/Q43393710,Issobel Bairdie,Burntisland,-3.233333333,56.05,Female
http://www.wikidata.org/entity/Q43393750,Marion Cunnyngham,Dunfermline,-3.461666666,56.07138889,Female
http://www.wikidata.org/entity/Q43393760,Finlayson,Fordoun,-2.41175,56.8729,Female
http://www.wikidata.org/entity/Q43393763,Issobel Mitchell,Inverkeithing,-3.383333333,56.03333333,Female
http://www.wikidata.org/entity/Q43393791,Barbara Chattow,"Hillend, Fife",-3.3731,56.0408,Female
http://www.wikidata.org/entity/Q43393795,Janet Scott,Dumfries,-3.616666666,55.06666667,Female
http://www.wikidata.org/entity/Q43393821,Emie Angus,Inverkeithing,-3.383333333,56.03333333,Female
http://www.wikidata.org/entity/Q43393911,Agnes Cairns,Pencaitland,-2.89098,55.91,Female
http://www.wikidata.org/entity/Q43393918,Margaret Dalgleish,Lauder,-2.74855,55.7194,Female
http://www.wikidata.org/entity/Q43393944,Jonet Mitchell,Inverkeithing,-3.383333333,56.03333333,Female
http://www.wikidata.org/entity/Q43393957,Bessie Veitch,Stobo,-3.297777777,55.625,Female
http://www.wikidata.org/entity/Q43393960,Marion Laidlaw,"Stanhope, Peeblesshire",-3.393,55.553,Female
http://www.wikidata.org/entity/Q43393967,Margaret Whyte,Hearthstane,-3.407325,55.5194,Female
http://www.wikidata.org/entity/Q43393978,Elspet Skougall,Whittingehame,-2.63333,55.95,Female
http://www.wikidata.org/entity/Q43393981,Euphane Drysdaill,Carriden,-3.566848,56.009756,Female
http://www.wikidata.org/entity/Q43394005,Janet Diksone,Dumfries,-3.616666666,55.06666667,Female
http://www.wikidata.org/entity/Q43394013,Christian Rennick,Outerstoun,-3.069805,55.802052,Female
http://www.wikidata.org/entity/Q43394017,Jonet Lindsay,Stirling,-3.9369,56.1166,Female
http://www.wikidata.org/entity/Q43394019,Agnes Fergusson,Arbroath,-2.585705555,56.56138611,Female
http://www.wikidata.org/entity/Q43394036,Elizabeth Maxwell,Dumfries,-3.616666666,55.06666667,Female
http://www.wikidata.org/entity/Q43394043,Violat Leyis,Aberdeen,-2.1,57.15,Female
http://www.wikidata.org/entity/Q43394057,Hellie Pennie,Ellon,-2.086,57.366,Female
http://www.wikidata.org/entity/Q43394057,Hellie Pennie,Mains Of Slains,-1.92126,57.3624,Female
http://www.wikidata.org/entity/Q43394072,Maige Saythe,Aberdeen,-2.1,57.15,Female
http://www.wikidata.org/entity/Q43394092,Helen Gib,Ellon,-2.086,57.366,Female
http://www.wikidata.org/entity/Q43394097,Agnes Chapman,Aberdeen,-2.1,57.15,Female
http://www.wikidata.org/entity/Q43394102,Elspet Cuming,Elgin,-3.315277777,57.64638889,Female
http://www.wikidata.org/entity/Q43394105,Issobell Johnestowne,St Andrews,-2.798888888,56.33888889,Female
http://www.wikidata.org/entity/Q43394135,Katherine Grant,Orkney Islands,-3,59,Female
http://www.wikidata.org/entity/Q43394150,Elspet Watsone,Elgin,-3.315277777,57.64638889,Female
http://www.wikidata.org/entity/Q43394154,Issobell Sinclair,Orkney Islands,-3,59,Female
http://www.wikidata.org/entity/Q43394157,Margaret Chapman,Stirling,-3.9369,56.1166,Female
http://www.wikidata.org/entity/Q43394189,Elspeth Chalmers,North Isles,-1,60.66666667,Female
http://www.wikidata.org/entity/Q43394189,Elspeth Chalmers,Stronsay,-2.6,59.11666667,Female
http://www.wikidata.org/entity/Q43394206,Margaret Brand,Dunfermline,-3.461666666,56.07138889,Female
http://www.wikidata.org/entity/Q43394212,Jonet Thomesone,Evie and Rendall,-3.0966,59.0677,Female
http://www.wikidata.org/entity/Q43394216,Agnes Kirk,Dunfermline,-3.461666666,56.07138889,Female
http://www.wikidata.org/entity/Q43394253,Margaret Anderson,Haddington,-2.78332,55.95612,Female
http://www.wikidata.org/entity/Q43394261,Marion Ramsay,Leith,-3.17005,55.9801,Female
http://www.wikidata.org/entity/Q43394290,Marion Dauline,North Queensferry,-3.39444,56.0111,Female
http://www.wikidata.org/entity/Q43394335,Helen Small,Monimail,-3.135731,56.314974,Female
http://www.wikidata.org/entity/Q43394346,Marget McKirdy,Isle of Bute,-5.05636,55.83569,Female
http://www.wikidata.org/entity/Q43394454,Murray,"Skirling, Scottish Borders",-3.4704351,55.635882,Female
http://www.wikidata.org/entity/Q43394459,Janet Burnes,Dumfries,-3.616666666,55.06666667,Female
http://www.wikidata.org/entity/Q43394473,Barbara Horniman,Falkland,-3.2,56.25,Female
http://www.wikidata.org/entity/Q43394505,Margaret Myles,Edinburgh,-3.198888888,55.95,Female
http://www.wikidata.org/entity/Q43394532,Margaret Jamesonne,Largs,-4.863611111,55.79388889,Female
http://www.wikidata.org/entity/Q43394579,Margaret Balfour,Elgin,-3.315277777,57.64638889,Female
http://www.wikidata.org/entity/Q43394587,Agnes Anstruther,Kirkcaldy,-3.167369444,56.11073056,Female
http://www.wikidata.org/entity/Q43394668,Margaret Wallace,Fife,-3.2,56.25,Female
http://www.wikidata.org/entity/Q43394698,Margaret Halkhead,Dysart,-3.12538,56.12557,Female
http://www.wikidata.org/entity/Q43394704,Bessie Osatt,Kirkcaldy,-3.167369444,56.11073056,Female
http://www.wikidata.org/entity/Q43394706,Isobell Jak,Kirkcaldy,-3.167369444,56.11073056,Female
http://www.wikidata.org/entity/Q43394725,Kath Rowane,Culross,-3.6293,56.0554,Female
http://www.wikidata.org/entity/Q43394743,Jonet Horne,Dunfermline,-3.461666666,56.07138889,Female
http://www.wikidata.org/entity/Q43394799,Effie Herring,Dunfermline,-3.461666666,56.07138889,Female
http://www.wikidata.org/entity/Q43394826,Katharine Wightman,Clackmannan,-3.74652,56.1091,Female
http://www.wikidata.org/entity/Q43394887,Hellen Fleck,Haddington,-2.78332,55.95612,Female
http://www.wikidata.org/entity/Q43394913,Jonet Hewat,Liberton,-3.16188,55.9144,Female
http://www.wikidata.org/entity/Q43394915,Marion Neyne McAlester,Tain,-4.0567,57.8118,Female
http://www.wikidata.org/entity/Q43394955,Issobell Dodis,Edinburgh,-3.198888888,55.95,Female
http://www.wikidata.org/entity/Q43394957,Jonet Miller,Old Liston,-3.407951,55.936452,Female
http://www.wikidata.org/entity/Q43391115,Marion Raeburn,Haddington,-2.78332,55.95612,Female
http://www.wikidata.org/entity/Q43391194,Jeane Kirkwood,Haddington,-2.78332,55.95612,Female
http://www.wikidata.org/entity/Q43391208,Guidfellow,Haddington,-2.78332,55.95612,Female
http://www.wikidata.org/entity/Q43391242,Jeane Dikson,Haddington,-2.78332,55.95612,Female
http://www.wikidata.org/entity/Q43391267,Neving,East Saltoun and West Saltoun,-2.8513,55.8989,Female
http://www.wikidata.org/entity/Q43391336,Janet Brodie,Craighead,-3.737218,57.559775,Female
http://www.wikidata.org/entity/Q43391561,Bessie Stewinstone,Hamilton,-4.068055555,55.78,Female
http://www.wikidata.org/entity/Q43391637,Euphame Rid,Geise Little,-3.521065,58.568621,Female
http://www.wikidata.org/entity/Q43391640,Spouse to Johnne McConnochie,Aboyne,-2.77949,57.0766,Female
http://www.wikidata.org/entity/Q43392406,Margaret Anderson,Birns Water,-2.81754,55.869839,Female
http://www.wikidata.org/entity/Q43392450,Alisoun Denis,Haddington,-2.78332,55.95612,Female
http://www.wikidata.org/entity/Q43395007,Bessie Young,Loch Loy,-3.783333333,57.6,Female
http://www.wikidata.org/entity/Q43395012,Elsept Gilbert,Mains of Lethen,-3.776614,57.545706,Female
http://www.wikidata.org/entity/Q43395023,Barbara Conglitoun,Haddington,-2.78332,55.95612,Female
http://www.wikidata.org/entity/Q43395063,Jonet Gaw,Haddington,-2.78332,55.95612,Female
http://www.wikidata.org/entity/Q43395071,Bessie Lamb,Haddington,-2.78332,55.95612,Female
http://www.wikidata.org/entity/Q43395083,Cristian Brake,Aberdeen,-2.1,57.15,Female
http://www.wikidata.org/entity/Q43395087,Christian Foord,Aberdeen,-2.1,57.15,Female
http://www.wikidata.org/entity/Q43395128,Margaret Johnestoun,Traquair,-3.06667,55.6,Female
http://www.wikidata.org/entity/Q43395147,Katherine Broun,Innerleithen,-3.05901,55.6184,Female
http://www.wikidata.org/entity/Q43395155,Agnes Chalmers,Peebles,-3.18,55.65,Female
http://www.wikidata.org/entity/Q43395168,Margaret Spreuill,Lanark,-3.77702,55.6749,Female
http://www.wikidata.org/entity/Q43395172,Issobell Cunninghame,Paxton,-2.109472,55.76966,Female
http://www.wikidata.org/entity/Q43395176,Elizabeth Wood,Upper Keith,-2.865741,55.854723,Female
http://www.wikidata.org/entity/Q43395186,Margareat McInlay,Dumbarton,-4.547222222,55.94861111,Female
http://www.wikidata.org/entity/Q43395190,Marion McRae,Mauchline,-4.383333333,55.41666667,Female
http://www.wikidata.org/entity/Q43395214,Marione Kenock,Papigoe,-3.06161,58.4478,Female
http://www.wikidata.org/entity/Q43395254,Bessie Ramsay,Mortonhall,-3.18083,55.9033,Female
http://www.wikidata.org/entity/Q43395324,Helene Mwere,Tranent,-2.95417,55.9447,Female
http://www.wikidata.org/entity/Q43395332,Catherine McGillis,Haddington,-2.78332,55.95612,Female
http://www.wikidata.org/entity/Q43395343,Christian Harlaw,Inverkeithing,-3.383333333,56.03333333,Female
http://www.wikidata.org/entity/Q43395351,Marioun Stirk,Culross,-3.6293,56.0554,Female
http://www.wikidata.org/entity/Q43395361,Christiane Hay,Bo'ness,-3.608911111,56.01681111,Female
