Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Social Classification,Manner of Death,Place of Death,Place of Detainment
http://www.wikidata.org/entity/Q43402736,Ersche Marioun,Seton,-2.940687,55.964086,Female,Middling,Capital Punishment,,
http://www.wikidata.org/entity/Q43393333,Margaret Melrois,Pinkerton,-2.48712,55.96065,Female,Middling,Capital Punishment,,
http://www.wikidata.org/entity/Q43389993,Janet Boyd,Dumbarton,-4.547222222,55.94861111,Female,Middling,Capital Punishment,,
http://www.wikidata.org/entity/Q43394953,Jonnet Gibesone,Gilmerton,-3.13083,55.905,Female,Middling,Capital Punishment,,
http://www.wikidata.org/entity/Q43390993,Margaret Hutchison,Duddingston,-3.14673,55.9416,Female,Middling,Capital Punishment,,
http://www.wikidata.org/entity/Q43394275,Isobel Young,North Queensferry,-3.39444,56.0111,Female,Middling,Capital Punishment,,
http://www.wikidata.org/entity/Q43391974,Jonet Fultoun,Leith,-3.17005,55.9801,Female,Middling,Capital Punishment,,
http://www.wikidata.org/entity/Q43390387,Jeane Craig,Tranent,-2.95417,55.9447,Female,Middling,Capital Punishment,,
http://www.wikidata.org/entity/Q43393166,Robert Erskine,Wester Logie,-3.45421,56.60015,Male,Upper Class,CapitalPunishment,Mercat Cross,
http://www.wikidata.org/entity/Q43393195,Annas Erskine,Wester Logie,-3.45421,56.60015,Female,Upper Class,CapitalPunishment,Mercat Cross,
http://www.wikidata.org/entity/Q43393220,Issobell Erskine,Wester Logie,-3.45421,56.60015,Female,Upper Class,CapitalPunishment,,
http://www.wikidata.org/entity/Q43390653,Katherine Gerard,Ironside,-2.201181,57.557764,Female,Working Poor,CapitalPunishment,Aberdeen,
http://www.wikidata.org/entity/Q43390633,Johnnet Wischert,Aberdeen,-2.1,57.15,Female,Working Poor,CapitalPunishment,Aberdeen,
http://www.wikidata.org/entity/Q43390226,Issobel Griersoune,Prestonpans,-2.961,55.9597,Female,Working Poor,CapitalPunishment,Castle Hill,
http://www.wikidata.org/entity/Q43391288,Margaret Clerk,Seatown,-2.825478,57.69238,Female,Working Poor,CapitalPunishment,Dumfries,
http://www.wikidata.org/entity/Q43390964,Janet Daill,Musselburgh,-3.05,55.93333333,Female,Working Poor,CapitalPunishment,Musselburgh,Musselburgh
http://www.wikidata.org/entity/Q43395933,Unknown woman accused of witchcraft,Birsay,-3.335278,59.136944,Female,Working Poor,CapitalPunishment,,
http://www.wikidata.org/entity/Q43392187,Elspeth Baird,Leith,-3.17005,55.9801,Female,Working Poor,CapitalPunishment,,
