Wikidata Page,Name,Residence,Gender,Long,Lat
http://www.wikidata.org/entity/Q43912589,Gavin Adamson,Newburgh,Male,-3.2383 ,56.3517
http://www.wikidata.org/entity/Q43913952,Gavin Cochrane,Renfrewshire,Male,-4.389464 ,55.877277
http://www.wikidata.org/entity/Q43910557,Gavin Elliot,Grange,Male,-1.8083 ,57.5064
http://www.wikidata.org/entity/Q43915156,Gavin Nisbet,"Muirhouses, Falkirk",Male,-3.576 ,56.007
http://www.wikidata.org/entity/Q43914205,George Allan,Bo'ness,Male,-3.608911111 ,56.016811111
http://www.wikidata.org/entity/Q43913309,George Bands,Aberdeen,Male,-2.1 ,57.15
http://www.wikidata.org/entity/Q43910586,George Begbie,Bolton,Male,-2.79042 ,55.9205
http://www.wikidata.org/entity/Q43915171,George Boswell,Kirkcaldy,Male,-3.167369444 ,56.110730555
http://www.wikidata.org/entity/Q43911969,George Brown,Scotstoun,Male,-3.3646 ,55.6937
http://www.wikidata.org/entity/Q43915388,George Bruce,Carnock,Male,-3.54 ,56.084
http://www.wikidata.org/entity/Q43912319,George Douglas,Bonjedward,Male,-2.5457 ,55.5038
http://www.wikidata.org/entity/Q43914192,George Dundas,Duddingston,Male,-3.14673 ,55.9416
http://www.wikidata.org/entity/Q43915781,George Durie,St Andrews,Male,-2.798888888 ,56.338888888
http://www.wikidata.org/entity/Q43912547,George Forrester,Corstorphine,Male,-3.2854 ,55.9429
http://www.wikidata.org/entity/Q43914248,George Foulis,Ravelston,Male,-3.24778 ,55.9531
http://www.wikidata.org/entity/Q43913557,George Halliday,Peaston,Male,-2.915091 ,55.878235
http://www.wikidata.org/entity/Q43914748,George Hamilton,Blackburn,Male,-3.6215 ,55.8725
http://www.wikidata.org/entity/Q43912583,George Hay,Naughton,Male,-3.0162 ,56.4101
http://www.wikidata.org/entity/Q43912361,George Livingston,Saltcoats,Male,-4.7896 ,55.6352
http://www.wikidata.org/entity/Q43913303,George Nicolson,Aberdeen,Male,-2.1 ,57.15
http://www.wikidata.org/entity/Q43910576,George Patrick,Bolton,Male,-2.79042 ,55.9205
http://www.wikidata.org/entity/Q43911253,George Pollock,Polloktoun,Male,-4.303161 ,55.821571
http://www.wikidata.org/entity/Q43914583,George Ronaldson,"Braidwood, South Lanarkshire",Male,-3.83333 ,55.7
http://www.wikidata.org/entity/Q43916221,George Seton,West Barns,Male,-2.553 ,55.9937
http://www.wikidata.org/entity/Q43915262,George Sheil,Liberton,Male,-3.1619 ,55.9144
http://www.wikidata.org/entity/Q43911965,George Tait,Pirn,Male,-3.05357 ,55.622546
http://www.wikidata.org/entity/Q43916241,George Temple,Dirleton,Male,-2.785 ,56.048
http://www.wikidata.org/entity/Q43916213,George Young,Renfrew,Male,-4.366666666 ,55.866666666
http://www.wikidata.org/entity/Q43915817,Gilbert Ramsay,Balmain,Male,-2.5773 ,56.8422
http://www.wikidata.org/entity/Q43913290,Gilbert Robertson,Stirling,Male,-3.9369 ,56.1166
http://www.wikidata.org/entity/Q43913959,Hamilton John,Renfrewshire,Male,-4.389464 ,55.877277
http://www.wikidata.org/entity/Q43913758,Harry Burnie,Clackmannan,Male,-3.74652 ,56.1091
http://www.wikidata.org/entity/Q43911055,Harry Drummond,Aberdeen,Male,-2.1 ,57.15
http://www.wikidata.org/entity/Q43912794,Harry MacDougall,Makerstoun,Male,-2.524281 ,55.585549
http://www.wikidata.org/entity/Q43912970,Hector Bellenden,"Kames, Argyll",Male,-5.24306 ,55.8919
http://www.wikidata.org/entity/Q43912906,Hector MacKenzie,Assynt,Male,-5.0505 ,58.215
http://www.wikidata.org/entity/Q43915443,Henry Adamson,Perth,Male,-3.4317 ,56.3953
http://www.wikidata.org/entity/Q43915224,Henry Haliburton,Gogar,Male,-3.33333 ,55.9167
http://www.wikidata.org/entity/Q43915987,Henry Lumsden,Edinburgh,Male,-3.1989 ,55.95
http://www.wikidata.org/entity/Q43914513,Henry Scott,Mossfennan,Male,-3.4012 ,55.5707
http://www.wikidata.org/entity/Q43913534,Henry Stewart,Orkney Islands,Male,-3.0 ,59.0
http://www.wikidata.org/entity/Q43916201,Hew Blair,Renfrewshire,Male,-4.389464 ,55.877277
http://www.wikidata.org/entity/Q43910004,Home George,Manderston,Male,-2.3045 ,55.7816
http://www.wikidata.org/entity/Q43911099,Hugh Crawford,Whitehill,Male,-3.030577 ,55.886446
http://www.wikidata.org/entity/Q43912692,Hugh Henryson,Dumfries,Male,-3.616666666 ,55.066666666
http://www.wikidata.org/entity/Q43915716,Hugh Wallace,Craigie,Male,-4.49413 ,55.56112
http://www.wikidata.org/entity/Q43911024,Irvine Alexander,Drumoak,Male,-2.33828 ,57.0862
http://www.wikidata.org/entity/Q43914862,Isobel Douglas,Dunkeld,Male,-3.583333333 ,56.558333333
http://www.wikidata.org/entity/Q43916180,Isobel Young,West Barns,Male,-2.553 ,55.9937
http://www.wikidata.org/entity/Q43911652,J Livingston,Dunipace,Male,-3.914072222 ,56.028236111
http://www.wikidata.org/entity/Q43910620,James Acheson,North Berwick,Male,-2.717 ,56.058
http://www.wikidata.org/entity/Q43915833,James Aides,Kinneff,Male,-2.23847 ,56.8647
http://www.wikidata.org/entity/Q43911124,James Aitken,Orkney Islands,Male,-3.0 ,59.0
http://www.wikidata.org/entity/Q43912040,James Anderson,Prestonpans,Male,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43914965,James Baillie,Lochend,Male,-4.3379 ,57.4091
http://www.wikidata.org/entity/Q43918632,James Boyd,Temple,Male,-3.08333 ,55.8
http://www.wikidata.org/entity/Q43913560,James Cairntoun,Lothian,Male,-3.0844 ,55.9092
http://www.wikidata.org/entity/Q43913579,James Cornwall,Bonhard,Male,-3.5754 ,56.0005
http://www.wikidata.org/entity/Q43913837,James Cowan,Haddington,Male,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43912022,James Crombie,East Barns,Male,-2.4548 ,55.978
http://www.wikidata.org/entity/Q43915836,James Deskford,Aberdeenshire,Male,-2.123 ,57.151
http://www.wikidata.org/entity/Q43911842,James Dougall,Glasgow,Male,-4.27 ,55.87
http://www.wikidata.org/entity/Q43914047,James Dunbar,Nairn,Male,-3.866666666 ,57.583333333
http://www.wikidata.org/entity/Q43913275,James Fea,Orkney Islands,Male,-3.0 ,59.0
http://www.wikidata.org/entity/Q43913646,James Finke,Prestonpans,Male,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43911469,James Fleming,Yester,Male,-2.742843 ,55.890882
http://www.wikidata.org/entity/Q43913630,James Floss,Bo'ness,Male,-3.608911111 ,56.016811111
http://www.wikidata.org/entity/Q43910614,James Foreman,Drem,Male,-2.78735 ,56.0059
http://www.wikidata.org/entity/Q43913643,James Gourlay,Prestonpans,Male,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43915752,James Gray,Lanark,Male,-3.77702 ,55.6749
http://www.wikidata.org/entity/Q43911260,James Haddey,Corstorphine,Male,-3.2854 ,55.9429
http://www.wikidata.org/entity/Q43914993,James Halden,Gleneagles,Male,-3.7525 ,56.280833
http://www.wikidata.org/entity/Q43914885,James Heislop,Crichton,Male,-2.98249 ,55.8471
http://www.wikidata.org/entity/Q43915337,James Hogg,Dalkeith,Male,-3.068332 ,55.893642
http://www.wikidata.org/entity/Q43911539,James Jollie,Prestonpans,Male,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43915079,James Lermond,Crail,Male,-2.6263 ,56.2608
http://www.wikidata.org/entity/Q43913555,James Liddell,Peaston,Male,-2.915091 ,55.878235
http://www.wikidata.org/entity/Q43915741,James Lockhart,Lanark,Male,-3.77702 ,55.6749
http://www.wikidata.org/entity/Q43913300,James Logan,Kirkcudbright,Male,-4.051666666 ,54.835277777
http://www.wikidata.org/entity/Q43915800,James MacDonald,Sleat,Male,-5.93223 ,57.1102
http://www.wikidata.org/entity/Q43914157,James Neilson,Whittingehame,Male,-2.6333 ,55.95
http://www.wikidata.org/entity/Q43914882,James Newton,Crichton,Male,-2.98249 ,55.8471
http://www.wikidata.org/entity/Q43914782,James Nicolson,Cockburnspath,Male,-2.36018 ,55.9329
http://www.wikidata.org/entity/Q43911511,James Oswald,Prestonpans,Male,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43912508,James Raith,Edmonstone,Male,-3.115893 ,55.917566
http://www.wikidata.org/entity/Q43912606,James Richardson,"Smeaton, East Lothian",Male,-2.6525 ,55.9986
http://www.wikidata.org/entity/Q43911715,James Rig,"Carberry, East Lothian",Male,-3.028 ,55.918
