Wikidata Page,Name,Residence,Gender,Occupation,Long,Lat
http://www.wikidata.org/entity/Q43913474,Alexander Simpson,Dysart,Male,Bailie,-3.1254 ,56.1256
http://www.wikidata.org/entity/Q43913680,Robert Richardson,Dumfries,Male,Bailie,-3.616666666 ,55.066666666
http://www.wikidata.org/entity/Q43913724,Andrew Moncreiff,Crail,Male,Bailie,-2.6263 ,56.2608
http://www.wikidata.org/entity/Q43913884,William Campbell,Ayr,Male,Bailie,-4.6278 ,55.4639
http://www.wikidata.org/entity/Q43913934,John Crawford,Ayr,Male,Bailie,-4.6278 ,55.4639
http://www.wikidata.org/entity/Q43914097,William Reid,Leith,Male,Bailie,-3.17005 ,55.9801
http://www.wikidata.org/entity/Q43914199,John Dick,South Queensferry,Male,Bailie,-3.4 ,55.9875
http://www.wikidata.org/entity/Q43914334,Thomas Scott,Selkirk,Male,Bailie,-2.833333333 ,55.533333333
http://www.wikidata.org/entity/Q43914454,John Hamilton,"Preston, East Lothian",Male,Bailie,-2.979 ,55.9547
http://www.wikidata.org/entity/Q43914479,Robert Hamilton,"Preston, East Lothian",Male,Bailie,-2.979 ,55.9547
http://www.wikidata.org/entity/Q43914490,Robert Thomson,Peebles,Male,Bailie,-3.18 ,55.65
http://www.wikidata.org/entity/Q43914505,John Hall,"Preston, East Lothian",Male,Bailie,-2.979 ,55.9547
http://www.wikidata.org/entity/Q43914559,Alexander Ramsay,"Carrington, Midlothian",Male,Bailie,-3.0903 ,55.8328
http://www.wikidata.org/entity/Q43914654,John Brown,Jedburgh,Male,Bailie,-2.546 ,55.477
http://www.wikidata.org/entity/Q43914707,John Nicolson,Chanonry Point,Male,Bailie,-4.09861 ,57.5722
http://www.wikidata.org/entity/Q43914870,John Wallace,Craigie,Male,Bailie,-4.49413 ,55.56112
http://www.wikidata.org/entity/Q43914927,John Innes,Leuchars,Male,Bailie,-2.8835 ,56.3814
http://www.wikidata.org/entity/Q43915007,James Ramsay,South Queensferry,Male,Bailie,-3.4 ,55.9875
http://www.wikidata.org/entity/Q43915060,John Blair,Irvine,Male,Bailie,-4.661111111 ,55.619444444
http://www.wikidata.org/entity/Q43915094,William Scott,Dalkeith,Male,Bailie,-3.068332 ,55.893642
http://www.wikidata.org/entity/Q43915211,John Davidson,Inverkeithing,Male,Bailie,-3.383333333 ,56.033333333
http://www.wikidata.org/entity/Q43915380,Robert Bruce,Culross,Male,Bailie,-3.6293 ,56.0554
http://www.wikidata.org/entity/Q43915428,Alexander Simpson,Dysart,Male,Bailie,-3.1254 ,56.1256
http://www.wikidata.org/entity/Q43915461,Archibald Turnbull,Longniddry,Male,Bailie,-2.88333 ,55.9667
http://www.wikidata.org/entity/Q43915463,Archibald Weddell,Seton,Male,Bailie,-2.940687 ,55.964086
http://www.wikidata.org/entity/Q43915472,William Scott,Musselburgh,Male,Bailie,-3.0472 ,55.9433
http://www.wikidata.org/entity/Q43915473,William Duncan,Musselburgh,Male,Bailie,-3.0472 ,55.9433
http://www.wikidata.org/entity/Q43915503,John Ross,Tain,Male,Bailie,-4.0567 ,57.8118
http://www.wikidata.org/entity/Q43915505,William Ferguson,Tain,Male,Bailie,-4.0567 ,57.8118
http://www.wikidata.org/entity/Q43915521,James Murray,Leith,Male,Bailie,-3.17005 ,55.9801
http://www.wikidata.org/entity/Q43915543,Patrick Abernethy,Haddington,Male,Bailie,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43915552,John Hepburn,Gilmerton,Male,Bailie,-3.13083 ,55.905
http://www.wikidata.org/entity/Q43915640,Andrew Ker,Selkirk,Male,Bailie,-2.833333333 ,55.533333333
http://www.wikidata.org/entity/Q43915643,William Scott,Selkirk,Male,Bailie,-2.833333333 ,55.533333333
http://www.wikidata.org/entity/Q43915671,Patrick Thomson,Peebles,Male,Bailie,-3.18 ,55.65
http://www.wikidata.org/entity/Q43915731,John Haliburton,Melrose,Male,Bailie,-2.716666666 ,55.583333333
http://www.wikidata.org/entity/Q43915773,William Murray,Lauder,Male,Bailie,-2.74855 ,55.7194
http://www.wikidata.org/entity/Q43915776,Charles Lauder,Lauder,Male,Bailie,-2.74855 ,55.7194
http://www.wikidata.org/entity/Q43915840,John Baird,Cullen,Male,Bailie,-2.815277777 ,57.694722222
http://www.wikidata.org/entity/Q43915907,Robert Hamilton,Bo'ness,Male,Bailie,-3.608911111 ,56.016811111
http://www.wikidata.org/entity/Q43916052,John Dickson,Glasgow,Male,Bailie,-4.27 ,55.87
http://www.wikidata.org/entity/Q43916136,John Johnston,Dumfries,Male,Bailie,-3.616666666 ,55.066666666
http://www.wikidata.org/entity/Q43913905,Alexander Simpson,Irvine,Male,Beadle,-4.661111111 ,55.619444444
http://www.wikidata.org/entity/Q43911345,John Brown,Inverkeithing,Male,Burgess,-3.383333333 ,56.033333333
http://www.wikidata.org/entity/Q43913740,John Douglas,Inverkeithing,Male,Burgess,-3.383333333 ,56.033333333
http://www.wikidata.org/entity/Q43915180,James Acheson,Liberton,Male,Burgess,-3.1619 ,55.9144
http://www.wikidata.org/entity/Q43915921,John Robertson,Glasgow,Male,Burgess,-4.27 ,55.87
http://www.wikidata.org/entity/Q43916100,William Napier,Edinburgh,Male,Burgess,-3.1989 ,55.95
