Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Social Classification
http://www.wikidata.org/entity/Q43390579,Jeane Abbot,"Linton, Scottish Borders",-2.358792,55.530357,Female,Middling
http://www.wikidata.org/entity/Q43390960,Bessie Moffat,Dalkeith,-3.068332,55.893642,Female,Middling
http://www.wikidata.org/entity/Q43392661,Jean Cleilland,Corehouse Mill,-3.788168,55.651765,Female,Middling
http://www.wikidata.org/entity/Q43393062,Margret Nisbitt,"Spott, East Lothian",-2.52417,55.9722,Female,Middling
http://www.wikidata.org/entity/Q43393169,James Murray,Innerleithen,-3.05901,55.6184,Male,Middling
http://www.wikidata.org/entity/Q43393462,Kathrin Scoby,Methven,-3.58,56.415,Female,Middling
http://www.wikidata.org/entity/Q43393541,Margaret Hill,Liberton,-3.16188,55.9144,Female,Middling
http://www.wikidata.org/entity/Q43390914,Elspeth Colvill,"West Port, Edinburgh",-3.2,55.9464,Female,Middling
http://www.wikidata.org/entity/Q43393959,Elspet Gray,Balwyllo Farmhouse,-2.56593,56.722,Female,Middling
http://www.wikidata.org/entity/Q43393959,Elspet Gray,Balwyllo Farmhouse,-2.56425,56.7223,Female,Middling
http://www.wikidata.org/entity/Q43394702,William Patersone,Kirkcaldy,-3.167369444,56.11073056,Male,Middling
http://www.wikidata.org/entity/Q43391701,Margaret Coruth,Dumbarton,-4.547222222,55.94861111,Female,Middling
http://www.wikidata.org/entity/Q43391936,Eupham Harther,Bo'ness,-3.608911111,56.01681111,Female,Middling
http://www.wikidata.org/entity/Q43392495,Margaret Whyt,Govan,-4.3083,55.8615,Female,Middling
http://www.wikidata.org/entity/Q43390192,Margaret Hutton,Culross,-3.6293,56.0554,Female,Middling
http://www.wikidata.org/entity/Q43390598,Thomas Paton,Dumfries,-3.616666666,55.06666667,Male,Middling
http://www.wikidata.org/entity/Q43392213,Katherine Wilson,Duns,-2.3426,55.7784,Female,Middling
http://www.wikidata.org/entity/Q43393072,James Jonstoun,"Spott, East Lothian",-2.52417,55.9722,Male,Middling
http://www.wikidata.org/entity/Q43393078,Margaret Elleot,"Spott, East Lothian",-2.52417,55.9722,Female,Middling
http://www.wikidata.org/entity/Q43393467,Jonet Gilivory,Methven,-3.58,56.415,Female,Middling
http://www.wikidata.org/entity/Q43393546,Johne Ramsay,Niddry,-3.458308,55.949861,Male,Middling
http://www.wikidata.org/entity/Q43393733,Agnes Clerk,Largs,-4.863611111,55.79388889,Female,Middling
